,pitch_type,events,prev_desc,zone,stand,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,bat_score,fld_score
0,SL,,swinging_strike,5,R,0,2,,676391.0,,2,1,0
1,SL,,swinging_strike,6,R,0,1,,676391.0,,2,1,0
2,SL,,hit_into_play,14,R,0,0,,676391.0,,2,1,0
3,CU,sac_fly,sac_fly,4,L,0,0,519390.0,676391.0,,1,0,0
4,SL,double,double,4,R,2,2,,,519390.0,1,0,0
5,SL,,foul,14,R,1,2,,,519390.0,1,0,0
6,SI,,swinging_strike,5,R,1,1,,,519390.0,1,0,0
7,SI,,ball,13,R,1,0,,,519390.0,1,0,0
8,SI,,ball,14,R,0,0,,,519390.0,1,0,0
9,SL,walk,walk,11,L,3,2,,,,1,0,0
10,FC,,foul,5,L,3,1,,,,1,0,0
11,FC,,ball,9,L,3,0,,,,1,0,0
12,FC,,ball,14,L,2,0,,,,1,0,0
13,SL,,ball,11,L,1,0,,,,1,0,0
14,CU,,foul_tip,13,L,0,0,,,,1,0,0
15,FC,strikeout,strikeout,8,R,1,2,,,,0,0,0
16,FF,,foul,1,R,1,2,,,,0,0,0
17,SL,,foul,6,R,1,2,,,,0,0,0
18,FS,,foul,8,R,1,2,,,,0,0,0
19,SI,,foul,4,R,1,1,,,,0,0,0
20,SL,,ball,5,R,1,0,,,,0,0,0
21,SL,,hit_into_play,13,R,0,0,,,,0,0,0
22,FF,field_out,field_out,5,L,1,0,,,,2,0,0
23,CU,,hit_into_play,14,L,0,0,,,,2,0,0
24,SI,field_out,field_out,4,R,1,1,,,,1,0,0
25,SI,,ball,1,R,1,0,,,,1,0,0
26,SI,,hit_into_play,13,R,0,0,,,,1,0,0
27,SL,field_out,field_out,7,L,1,2,,,,0,0,0
28,FC,,foul,9,L,1,1,,,,0,0,0
29,FC,,ball,9,L,1,0,,,,0,0,0
30,CU,,hit_into_play,12,L,0,0,,,,0,0,0
31,SL,field_out,field_out,4,R,1,0,,,,2,0,0
32,SI,,swinging_strike,14,R,0,0,,,,2,0,0
33,SL,strikeout,strikeout,6,R,0,2,,,,1,0,0
34,FF,,swinging_strike,9,R,0,1,,,,1,0,0
35,SL,,swinging_strike,2,R,0,0,,,,1,0,0
36,SL,strikeout,strikeout,4,L,3,2,,,,0,0,0
37,SL,,called_strike,5,L,3,2,,,,0,0,0
38,SL,,ball,1,L,3,1,,,,0,0,0
39,SL,,swinging_strike,11,L,2,1,,,,0,0,0
40,FC,,ball,5,L,2,0,,,,0,0,0
41,SL,,ball,11,L,1,0,,,,0,0,0
42,SL,,swinging_strike,11,L,0,0,,,,0,0,0
43,SL,strikeout,strikeout,11,R,2,2,,,,2,0,0
44,FC,,ball,13,R,2,2,,,,2,0,0
45,SL,,called_strike,14,R,1,2,,,,2,0,0
46,SI,,swinging_strike,7,R,1,1,,,,2,0,0
47,SL,,ball,2,R,1,0,,,,2,0,0
48,SL,,hit_into_play,14,R,0,0,,,,2,0,0
49,FF,field_out,field_out,9,L,2,2,,,,1,0,0
50,SL,,ball,4,L,2,1,,,,1,0,0
51,SL,,ball,13,L,1,1,,,,1,0,0
52,SI,,called_strike,13,L,0,1,,,,1,0,0
